start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
103.14.216.88,103.14.216.127,103.14.0.0,Auckland,Auckland,NZ,-36.84853,174.76349,1010,Pacific/Auckland
1.175.215.191,1.175.215.192,1.175.0.0,Kaohsiung,Takao,TW,22.61626,120.31333,,Asia/Taipei
105.107.143.192,105.107.143.207,105.107.0.0,Constantine,Constantine,DZ,36.365,6.61472,04011,Africa/Algiers
1.32.38.76,1.32.38.76,1.32.0.0,Tawau,Sabah,MY,4.24482,117.89115,91007,Asia/Kuching
1.84.61.113,1.84.61.113,1.84.0.0,Nanjing,Jiangsu,CN,32.06167,118.77778,,Asia/Shanghai
1.183.236.45,1.183.236.45,1.183.0.0,Guangzhou,Guangdong,CN,23.11667,113.25,,Asia/Shanghai
1.123.223.192,1.123.223.255,1.123.0.0,Melbourne,Victoria,AU,-37.81105,145.0776,3103,Australia/Melbourne
101.114.77.224,101.114.77.255,101.114.0.0,Sydney,New South Wales,AU,-33.8984,150.9965,2197,Australia/Sydney
1.121.212.112,1.121.212.113,1.121.0.0,Renmark,South Australia,AU,-34.17702,140.74697,5341,Australia/Adelaide
1.62.78.212,1.62.78.213,1.62.0.0,Tianjin,Tianjin,CN,39.14222,117.17667,,Asia/Shanghai
105.130.192.128,105.130.193.255,105.130.0.0,Rabat,Rabat-Salé-Kénitra,MA,34.01325,-6.83255,,Africa/Casablanca
104.207.128.0,104.207.128.15,104.207.0.0,New York City,New York,US,40.71427,-74.00597,10004,America/New_York
1.4.152.229,1.4.152.229,1.4.0.0,Pla Pak,Nakhon Phanom,TH,17.18064,104.52606,48160,Asia/Bangkok
1.205.131.62,1.205.131.62,1.205.0.0,Chengdu,Sichuan,CN,30.66667,104.06667,,Asia/Shanghai
1.20.92.208,1.20.92.223,1.20.0.0,Udon Thani,Udon Thani,TH,17.41567,102.78589,41000,Asia/Bangkok
105.88.85.176,105.88.85.207,105.88.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
103.162.98.128,103.162.99.255,103.162.0.0,Hanoi,Hanoi,VN,21.0245,105.84117,10000,Asia/Bangkok
103.19.201.164,103.19.201.167,103.19.0.0,Jandiāla,Punjab,IN,31.11799,75.78839,144418,Asia/Kolkata
1.183.183.5,1.183.183.5,1.183.0.0,Hangzhou,Zhejiang,CN,30.29365,120.16142,,Asia/Shanghai
1.50.238.14,1.50.238.14,1.50.0.0,Chengdu,Sichuan,CN,30.66667,104.06667,,Asia/Shanghai
101.67.225.28,101.67.225.29,101.67.0.0,Hangzhou,Zhejiang,CN,30.29365,120.16142,,Asia/Shanghai
102.189.110.144,102.189.110.163,102.189.0.0,Alexandria,Alexandria,EG,31.20176,29.91582,,Africa/Cairo
104.160.116.68,104.160.116.119,104.160.0.0,Flower Mound,Texas,US,33.01457,-97.09696,75022,America/Chicago
1.52.56.8,1.52.56.15,1.52.0.0,Biên Hòa,Đồng Nai,VN,10.94469,106.82432,76199,Asia/Ho_Chi_Minh
105.106.236.0,105.106.236.8,105.106.0.0,Chelghoum el Aïd,Mila,DZ,36.16286,6.16651,43013,Africa/Algiers
101.183.19.35,101.183.19.35,101.183.0.0,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
105.69.173.26,105.69.173.55,105.69.0.0,Casablanca,Casablanca-Settat,MA,33.58831,-7.61138,,Africa/Casablanca
1.112.57.56,1.112.57.56,1.112.0.0,Osaka,Ōsaka,JP,34.69374,135.50218,543-0062,Asia/Tokyo
101.137.112.64,101.137.112.87,101.137.0.0,Nantou,Taiwan,TW,23.91566,120.66387,,Asia/Taipei
105.243.11.21,105.243.11.21,105.243.0.0,Cape Town,Western Cape,ZA,-33.92584,18.42322,7945,Africa/Johannesburg
1.0.248.208,1.0.248.215,1.0.0.0,Betong,Yala,TH,5.77434,101.07231,95110,Asia/Bangkok
1.197.241.239,1.197.241.239,1.197.0.0,Nanjing,Jiangsu,CN,32.06167,118.77778,,Asia/Shanghai
102.190.27.140,102.190.27.167,102.190.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
1.54.154.156,1.54.154.159,1.54.0.0,Qui Nhon,Bình Định,VN,13.77648,109.22367,55117,Asia/Ho_Chi_Minh
102.27.185.0,102.27.185.63,102.27.0.0,As Sanad,Gafsa,TN,34.4628,9.26404,,Africa/Tunis
102.189.77.13,102.189.77.55,102.189.0.0,Ţanţā,Gharbia,EG,30.78847,31.00192,,Africa/Cairo
1.50.72.72,1.50.72.74,1.50.0.0,Hangzhou,Zhejiang,CN,30.29365,120.16142,,Asia/Shanghai
1.194.82.0,1.194.82.1,1.194.0.0,Nanjing,Jiangsu,CN,32.06167,118.77778,,Asia/Shanghai
105.101.156.0,105.101.156.255,105.101.0.0,Algiers,Algiers,DZ,36.73225,3.08746,16006,Africa/Algiers
101.128.215.248,101.128.215.255,101.128.0.0,Kanazawa,Ishikawa,JP,36.6299,136.6426,920-0219,Asia/Tokyo
101.173.18.208,101.173.18.215,101.173.0.0,Port Pirie,South Australia,AU,-33.19176,138.01746,5540,Australia/Adelaide
102.166.227.160,102.166.227.175,102.166.0.0,Kikuyu,Kiambu,KE,-1.24627,36.66291,,Africa/Nairobi
1.207.84.127,1.207.84.131,1.207.0.0,Hangzhou,Zhejiang,CN,30.29365,120.16142,,Asia/Shanghai
104.15.9.28,104.15.9.31,104.15.0.0,Dodge City,Kansas,US,37.7528,-100.01708,67801,America/Chicago
101.136.2.188,101.136.2.191,101.136.0.0,Chang-hua,Taiwan,TW,24.07327,120.56276,,Asia/Taipei
105.105.105.16,105.105.105.19,105.105.0.0,Batna,Batna,DZ,35.4913,6.0986,05093,Africa/Algiers
101.205.252.240,101.205.252.247,101.205.0.0,Tianjin,Tianjin,CN,39.14222,117.17667,,Asia/Shanghai
1.54.200.250,1.54.201.2,1.54.0.0,Hanoi,Hanoi,VN,21.0245,105.84117,10000,Asia/Bangkok
1.70.160.254,1.70.161.35,1.70.0.0,Hangzhou,Zhejiang,CN,30.29365,120.16142,,Asia/Shanghai
1.82.40.234,1.82.40.235,1.82.0.0,Chengdu,Sichuan,CN,30.66667,104.06667,,Asia/Shanghai
1.187.118.144,1.187.118.144,1.187.0.0,Pune,Maharashtra,IN,18.51957,73.85535,411001,Asia/Kolkata
105.109.112.96,105.109.112.255,105.109.0.0,Sétif,Sétif,DZ,36.104,5.4368,19036,Africa/Algiers
1.50.250.139,1.50.250.139,1.50.0.0,Hangzhou,Zhejiang,CN,30.29365,120.16142,,Asia/Shanghai
1.82.206.91,1.82.206.91,1.82.0.0,Chengdu,Sichuan,CN,30.66667,104.06667,,Asia/Shanghai
101.70.0.172,101.70.0.175,101.70.0.0,Tianjin,Tianjin,CN,39.14222,117.17667,,Asia/Shanghai
102.141.73.92,102.141.73.103,102.141.0.0,Phalaborwa,Limpopo,ZA,-23.95,31.1167,1394,Africa/Johannesburg
105.207.110.16,105.207.110.31,105.207.0.0,Girga,Sohag,EG,26.33721,31.89295,,Africa/Cairo
1.195.76.210,1.195.76.227,1.195.0.0,Hangzhou,Zhejiang,CN,30.29365,120.16142,,Asia/Shanghai
105.129.202.144,105.129.202.159,105.129.0.0,Oujda-Angad,Oriental,MA,34.68139,-1.90858,,Africa/Casablanca
101.50.146.224,101.50.146.231,101.50.0.0,Kakogawa,Hyōgo,JP,34.75064,134.86954,675-0301,Asia/Tokyo
105.36.144.176,105.36.144.191,105.36.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
105.88.73.64,105.88.73.95,105.88.0.0,Aswan,Aswan,EG,24.09082,32.89942,,Africa/Cairo
